Samples per Second	1
UTC Date	UTC Time	Sample	Temperature Sensor (1556.992 ; x)	Sensor 1 (1536.027 ; x)	Sensor 2 (1537.155 ; x)	Sensor 3 (1544.684 ; x)	Sensor 4 (1545.751 ; x)	Sensor 5 (1556.194 ; x)	Sensor 6 (1557.406 ; x)	Sensor 7 (1561.264 ; x)	Sensor 8 (1562.358 ; x)
21-08-2023	10:56:32	00001	-0.0073	-0.0022	0.5015	0.2875	0.7641	-0.2488	-0.7983	-0.2381	-1.1290
21-08-2023	10:56:33	00002	-0.0078	-0.0095	0.5069	0.3002	0.7678	-0.4012	-1.4967	-4.6533	-1.1260
21-08-2023	10:56:34	00003	-0.0074	-0.0150	0.5064	0.3045	0.7710	-0.4423	-1.5248	-4.6511	-1.1225
21-08-2023	10:56:35	00004	-0.0075	-0.0043	0.5024	0.2914	0.7644	-0.4006	-1.4967	-4.6520	-1.1184
21-08-2023	10:56:36	00005	-0.0074	0.1492	0.3764	0.1089	0.6209	0.0411	-0.8494	-0.1824	-0.5112
21-08-2023	10:56:37	00006	-0.0075	0.1638	0.3663	0.1411	0.4710	0.1984	-0.8282	-0.1391	-0.0488
21-08-2023	10:56:38	00007	-0.0068	0.1509	0.3145	0.1334	0.3955	0.2236	-0.8006	-0.1331	-0.0515
21-08-2023	10:56:39	00008	-0.0075	0.1439	0.3079	0.1309	0.3985	0.2385	-0.7957	-0.3039	-1.2243
21-08-2023	10:56:40	00009	-0.0078	0.1388	0.2921	0.1282	0.3858	0.2492	-0.7890	-0.3042	-1.2244
21-08-2023	10:56:41	00010	-0.0075	0.1380	0.3773	0.1358	0.2909	0.2260	-0.7924	-0.3016	-1.2171
21-08-2023	10:56:42	00011	-0.0072	0.1595	0.2875	0.2600	-0.1231	0.0115	-0.8162	-0.1337	0.0939
21-08-2023	10:56:43	00012	-0.0067	0.1565	0.2913	0.4521	-0.0624	-0.0077	-0.3796	0.2052	0.0304
21-08-2023	10:56:44	00013	-0.0081	0.1493	0.2365	0.5513	-0.0012	-0.0264	0.2359	0.4820	0.0924
21-08-2023	10:56:45	00014	-0.0072	0.1464	0.1860	0.4337	-0.0362	-0.0161	0.2010	0.5840	0.0977
21-08-2023	10:56:46	00015	-0.0075	0.1401	0.2273	0.5007	0.0657	-0.0256	0.2849	0.5222	0.0958
21-08-2023	10:56:47	00016	-0.0074	0.1398	0.3348	0.7176	0.1534	-0.0206	0.3879	0.7119	0.0956
21-08-2023	10:56:48	00017	-0.0068	0.1357	0.1439	0.5034	-0.0124	-0.0217	0.2776	0.5783	0.1042
21-08-2023	10:56:49	00018	-0.0070	0.1266	0.1314	0.3567	0.0759	-0.0445	0.1849	0.3657	0.1449
21-08-2023	10:56:50	00019	-0.0075	0.1196	0.1355	0.3657	0.1036	-0.0482	0.0061	0.2533	0.1653
21-08-2023	10:56:51	00020	-0.0071	0.1186	0.0053	0.3798	-0.2353	-0.0488	-0.0407	0.3047	0.1031
21-08-2023	10:56:52	00021	-0.0067	0.1156	0.1695	0.1122	0.2502	-0.0507	-0.0423	0.1574	0.1649
21-08-2023	10:56:53	00022	-0.0070	0.1057	0.2566	0.1097	0.2420	-0.0399	-0.6710	-0.0354	0.1882
21-08-2023	10:56:54	00023	-0.0073	0.0895	0.4229	0.1322	0.5894	-0.0224	-0.8708	-0.1134	0.2067
21-08-2023	10:56:55	00024	-0.0071	0.1110	0.4200	0.1420	0.5935	-0.0649	-0.8900	-0.1273	0.1763
21-08-2023	10:56:56	00025	-0.0068	-0.0962	0.4477	0.1696	0.7094	-0.3830	-1.4637	-4.6780	-1.3253
21-08-2023	10:56:57	00026	-0.0063	-0.1306	0.5038	0.2685	0.7895	-0.4478	-1.5363	-4.5853	-1.1299
21-08-2023	10:56:58	00027	-0.0067	-0.6711	0.6090	0.3792	0.8738	-0.3650	-0.5739	0.1122
21-08-2023	10:56:59	00028	-0.0066	-0.0020	0.4511	0.2440	0.7482	0.0498	-0.7110	-0.2331	-1.1238
21-08-2023	10:57:00	00029	-0.0069	-0.1022	0.4605	0.3195	0.6942	-0.0190	-0.7754	-0.0451
21-08-2023	10:57:01	00030	-0.0067	-0.1741	0.4958	0.3843	0.6885	-0.1679	-1.2440	-4.5893	-1.1410
21-08-2023	10:57:02	00031	-0.0064	-0.2502	0.5343	0.5003	0.7448	-0.2712	-1.3429	-4.5191	-1.0087
21-08-2023	10:57:03	00032	-0.0067	-0.2131	0.5501	0.4731	0.7494	-0.2921	-1.3673	-4.5192	-1.0223
21-08-2023	10:57:04	00033	-0.0061	-0.2545	0.5523	0.4672	0.7582	-0.3057	-1.3758	-4.5048	-1.0357
21-08-2023	10:57:05	00034	-0.0063	-0.2644	0.5459	0.4588	0.7516	-0.3246	-1.3893	-4.5064	-1.0420
