Samples per Second	1
UTC Date	UTC Time	Sample	Temperature Sensor (1556.992 ; x)	Sensor 1 (1536.027 ; x)	Sensor 2 (1537.155 ; x)	Sensor 3 (1544.684 ; x)	Sensor 4 (1545.751 ; x)	Sensor 5 (1556.194 ; x)	Sensor 6 (1557.406 ; x)	Sensor 7 (1561.264 ; x)	Sensor 8 (1562.358 ; x)
21-08-2023	10:58:32	00001	-0.0037	-0.1827	0.4528	0.3417	0.6724	-0.2890	-1.3729	-4.5566	-1.1089
21-08-2023	10:58:33	00002	-0.0039	-0.1863	0.4520	0.3424	0.6717	-0.2819	-1.3688	-4.5579	-1.1104
21-08-2023	10:58:34	00003	-0.0035	-0.1868	0.4549	0.3419	0.6750	-0.2894	-1.3720	-4.5559	-1.1115
21-08-2023	10:58:35	00004	-0.0048	-0.1898	0.4543	0.3408	0.6772	-0.2874	-1.3729	-4.5570	-1.1122
21-08-2023	10:58:36	00005	-0.0042	-0.1886	0.4542	0.3420	0.6746	-0.2838	-1.3696	-4.5568	-1.1131
21-08-2023	10:58:37	00006	-0.0034	-0.1874	0.4535	0.3421	0.6750	-0.2857	-1.3688	-4.5563	-1.1126
21-08-2023	10:58:38	00007	-0.0039	-0.1877	0.4533	0.3396	0.6747	-0.2855	-1.3698	-4.5554	-1.1138
21-08-2023	10:58:39	00008	-0.0032	-0.1882	0.4493	0.3429	0.6684	-0.2854	-1.3692	-4.5564	-1.1194
21-08-2023	10:58:40	00009	-0.0046	-0.1894	0.4521	0.3413	0.6739	-0.2821	-1.3651	-4.5568	-1.1208
21-08-2023	10:58:41	00010	-0.0040	-0.2002	0.4517	0.3476	0.6704	-0.2827	-1.3650	-4.5553	-1.1217
21-08-2023	10:58:42	00011	-0.0039	-0.2054	0.4507	0.3486	0.6707	-0.2731	-1.3572	-4.5560	-1.1243
21-08-2023	10:58:43	00012	-0.0036	-0.2047	0.4523	0.3484	0.6718	-0.2759	-1.3590	-4.5546	-1.1245
21-08-2023	10:58:44	00013	-0.0040	-0.2088	0.4476	0.3488	0.6670	-0.2623	-1.3521	-4.5562	-1.1233
21-08-2023	10:58:45	00014	-0.0033	-0.0027	0.3754	0.2169	0.5643	0.0770	-0.7605	-0.2775	-1.1904
21-08-2023	10:58:46	00015	-0.0037	0.1909	0.3310	0.1877	0.4249	0.0555	-0.7373	-0.3127	-1.2286
21-08-2023	10:58:47	00016	-0.0038	0.1874	0.3301	0.1761	0.4241	0.0934	-0.7428	-0.3137	-1.2312
21-08-2023	10:58:48	00017	-0.0035	0.1839	0.3291	0.1697	0.4233	0.1084	-0.7437	-0.3170	-1.2341
21-08-2023	10:58:49	00018	-0.0034	0.1804	0.3266	0.1652	0.4232	0.1207	-0.7451	-0.3184	-1.2361
21-08-2023	10:58:50	00019	-0.0036	0.1790	0.3262	0.1622	0.4228	0.1279	-0.7466	-0.1439	-0.2102
21-08-2023	10:58:51	00020	-0.0039	0.1758	0.3253	0.1607	0.4226	0.1354	-0.7461	-0.1452	-0.2070
21-08-2023	10:58:52	00021	-0.0027	0.1751	0.3260	0.1577	0.4227	0.1414	-0.7470	-0.1458	-0.2038
21-08-2023	10:58:53	00022	-0.0036	0.1724	0.3254	0.1563	0.4231	0.1454	-0.7474	-0.1470	-0.2008
21-08-2023	10:58:54	00023	-0.0027	0.1709	0.3246	0.1550	0.4230	0.1503	-0.7487	-0.1477	-0.1988
21-08-2023	10:58:55	00024	-0.0038	0.1692	0.3252	0.1538	0.4203	0.1550	-0.7487	-0.1491	-0.1926
