Samples per Second	1
UTC Date	UTC Time	Sample	CH0S001 (1536,409 ; x)	CH0S002 (1544,961 ; x)	CH0S003 (1556,226 ; x)	CH0S004 (1562,157 ; x)	CH1S001 (1553,011 ; x)	CH1S002 (1554,304 ; x)
16-11-2023	11:16:16	00061	-0,0144	-0,5356	-0,7759	-0,5938	-998,0000	-998,0000
16-11-2023	11:16:17	00062	0,3512	-0,6671	-0,2518	-1,0611	-998,0000	-998,0000
16-11-2023	11:16:18	00063	0,3742	-0,3967	0,2566	-0,5138	-998,0000	-998,0000
16-11-2023	11:16:19	00064	-0,1376	-0,2351	0,5099	-1,0540	-998,0000	-998,0000
16-11-2023	11:16:20	00065	-998,0000	-0,1434	-0,3654	-998,0000	-998,0000	-998,0000
16-11-2023	11:16:21	00066	-1,3311	-0,1169	-0,8668	-0,9020	-998,0000	-998,0000
16-11-2023	11:16:22	00067	-0,0035	-0,1460	-0,9833	-0,9503	-998,0000	-998,0000
16-11-2023	11:16:23	00068	-0,7943	-0,2008	-1,1360	-0,9751	-0,0718	-998,0000
16-11-2023	11:16:24	00069	0,2693	-0,1593	0,5644	-0,9120	-998,0000	-998,0000
16-11-2023	11:16:25	00070	0,0879	0,0046	0,2070	-0,2346	-998,0000	-998,0000
16-11-2023	11:16:26	00071	0,0943	0,0423	0,1241	-0,0995	-998,0000	-998,0000
