Samples per Second	1
UTC Date	UTC Time	Sample	CH0S001 (1536,229 ; x)	CH0S002 (1544,722 ; x)	CH0S003 (1556,117 ; x)	CH0S004 (1561,810 ; x)	CH1S001 (1536,447 ; x)	CH1S002 (1544,995 ; x)	CH1S003 (1556,405 ; x)	CH1S004 (1562,132 ; x)
09-11-2023	12:59:43	00257	0,6746	0,1016	0,5818	0,3599	0,3586	0,7567	0,1725	0,6774
09-11-2023	12:59:44	00258	0,6547	0,0910	0,5671	0,3535	0,3973	0,7386	0,2155	0,7093
09-11-2023	12:59:45	00259	0,6651	0,1119	0,5682	0,3863	0,4069	0,7510	0,2063	0,7119
09-11-2023	12:59:46	00260	0,6648	0,1363	0,5443	0,4210	0,4154	0,7450	0,2134	0,7172
09-11-2023	12:59:47	00261	0,6665	0,1305	0,5401	0,4173	0,4236	0,7309	0,2188	0,7011
09-11-2023	12:59:48	00262	0,6659	0,1672	0,5133	0,4505	0,4461	0,7267	0,2506	0,7333
09-11-2023	12:59:49	00263	0,6676	0,1637	0,5200	0,4461	0,4255	0,7323	0,2373	0,7160
09-11-2023	12:59:50	00264	0,6442	0,1379	0,4924	0,4343	0,4433	0,6952	0,2521	0,7134
09-11-2023	12:59:51	00265	0,6671	0,1222	0,4720		0,4515	0,6881	0,2822	0,7152
09-11-2023	12:59:52	00266	0,6167	0,2255	0,4792	0,4763	0,4151	0,6864	0,2349	0,7191
09-11-2023	12:59:53	00267	0,6484	0,1780	0,4903	0,4411	0,4114	0,7103	0,2250	0,6962
09-11-2023	12:59:54	00268	0,6669	0,0176	0,5956	0,2874	0,4009	0,7741	0,1889	0,6862
09-11-2023	12:59:55	00269	0,6790	0,0442	0,6097	0,3109	0,4750	0,7826	0,3071	0,7345
09-11-2023	12:59:56	00270	0,7189	0,0947	0,6037	0,4032	0,4860	0,7991	0,2670	0,7561
09-11-2023	12:59:57	00271	0,7657	-0,1177	0,6405	0,1833	0,4744	0,8453	0,1952	0,7021
09-11-2023	12:59:58	00272	0,8244	0,7281	0,7188	0,7105	0,9116	0,9090	0,6844	0,8281
09-11-2023	12:59:59	00273	0,7596	0,8902	0,5684	0,8749	1,1560	12,5417	6,7022
